Sl No,Player's Name,Team,From,Run,Ball,Strike Rate,Four,Six,Balls Bowled,Runs Concede,Economy,Wickets,Ct_St,Matches Played,Age
207,Ryan Ninan,RCB,IND,0,0,-,0,0,0,0,-,0,0,0,26
208,Ryan ten Doeschate,KKR,HOL,21,21,100,1,1,18,24,8,1,1,3,31
209,S Thiyagarajan,RCB,IND,0,0,-,0,0,0,0,-,0,0,0,27
210,Sachin Rana,PWI,IND,0,0,-,0,0,0,0,-,0,0,0,27
211,Sachin Tendulkar,MI,IND,324,283,114.4876325,39,4,0,0,-,0,0,13,38
212,Samad Fallah,RR,IND,0,0,-,0,0,0,0,-,0,0,0,27
213,Sanju Samson,KKR,IND,0,0,-,0,0,0,0,-,0,0,0,17
214,Sarabjit Ladda,KKR,IND,0,0,-,0,0,0,0,-,0,0,0,25
215,Saurabh Tiwary,RCB,IND,191,170,112.3529412,9,8,0,0,-,0,3,14,22
216,Scott Styris,CSK,NZ,0,0,-,0,0,0,0,-,0,0,0,36
217,Shadab Jakati,CSK,IND,7,12,58.33333333,0,0,198,257,7.787878788,7,5,13,31
218,Shahbaz Nadeem,DD,IND,0,2,0,0,0,270,318,7.066666667,8,3,12,22
219,Shakib Al Hasan,KKR,BAN,80,67,119.4029851,5,3,162,170,6.296296296,11,0,7,25
220,Shalabh Srivastava,KXI,IND,0,0,-,0,0,0,0,-,0,0,0,30
221,Shami Ahmed,KKR,IND,0,0,-,0,0,0,0,-,0,0,0,22
222,Shane Watson,RR,AUS,255,168,151.7857143,26,14,138,161,7,6,2,7,31
223,Shaun Marsh,KXI,AUS,336,280,120,39,7,0,0,-,0,8,13,28
224,Shaun Tait,RR,AUS,0,0,-,0,0,137,151,6.613138686,6,1,6,29
225,Shikhar Dhawan,DC,IND,569,439,129.6127563,58,18,36,55,9.166666667,3,5,15,26
226,Shreevats Goswami,RR,IND,69,67,102.9850746,4,1,0,0,-,0,8,11,23
227,Shrikant Wagh,PWI,IND,0,0,-,0,0,0,0,-,0,0,0,23
228,Siddharth Chitnis,KXI,IND,66,62,106.4516129,7,1,0,0,-,0,1,6,25
229,Siddharth Trivedi,RR,IND,5,6,83.33333333,0,0,312,378,7.269230769,13,3,14,29
230,Sneha Kishore,DC,IND,0,0,-,0,0,0,0,-,0,0,0,18
231,Sourav Ganguly,PWI,IND,268,271,98.89298893,30,4,60,95,9.5,2,6,15,40
232,Sreenath Aravind,RCB,IND,14,8,175,3,0,18,48,16,0,0,1,28
233,Sreesanth,RR,IND,0,0,-,0,0,0,0,-,0,0,0,29
234,Srikkanth Anirudha,CSK,IND,19,7,271.4285714,1,2,0,0,-,0,0,4,25
235,Steven Smith,PWI,AUS,362,267,135.5805243,24,14,2,5,15,0,10,15,22
236,Stuart Binny,RR,IND,90,67,134.3283582,9,3,60,78,7.8,3,1,8,28
237,Stuart Broad,KXI,ENG,0,0,-,0,0,0,0,-,0,0,0,25
238,Subramaniam Badrinath,CSK,IND,196,181,108.2872928,23,2,0,0,-,0,1,12,31
239,Sudeep Tyagi,CSK,IND,0,0,-,0,0,0,0,-,0,0,0,24
240,Sujit Nayak,MI,IND,0,0,-,0,0,0,0,-,0,0,0,22
241,Sumit Narwal,RR,IND,0,0,-,0,0,0,0,-,0,0,0,30
242,Sunil Narine,KKR,WI,9,7,128.5714286,2,0,331,287,5.202416918,24,1,14,24
