SN.,size of cluster,cluster member,cluster ID,first match count,second match count
0,32,"('able', 'nice', 'problem', 'u', 'wise', 'honest', 'common', 'humility', 'morality', 'good', 'whole', 'diplomacy', 'polite', 'decisiveness', 'peaceful', 'sure', 'capable', 'political', 'equality', 'kindness', 'sociology', 'crucial', 'international', 'progressive', 'genuine', 'selfless', 'vast', 'ability', 'logical', 'willingness', 'basic', 'confident')",10,"(8, (1, 'diplomacy', 18, 22))","(7, (0, 'leadership', 17, 29))"
1,17,"('decisions', 'passion', 'situations', 'bravery', 'leadership', 'president', 'deliberate', 'someone', 'intelligence', 'relations', 'politics', 'country', 'office', 'honesty', 'county', 'teamwork', 'mature')",0,"(5, (0, 'leadership', 17, 29))","(0, None)"
2,14,"('prejudice', 'different', 'sophisticated', 'smart', 'approachable', 'agreeable', 'negotiator', 'calm', 'eloquent', 'long', 'sense', 'idiot', 'humble', 'compassion')",4,"(5, (1, 'diplomacy', 18, 22))","(3, (0, 'leadership', 17, 29))"
3,10,"('ulterior', 'inclusivity', 'umm', 'underprivileged', 'stressful', 'levelheadedness', ""i'm"", 'level-headed', 'others', 'proud')",7,"(3, (0, 'leadership', 17, 29))","(0, None)"
4,8,"('course', 'groups', 'time', 'qualities', 'people', 'lot', 'character', 'term')",1,"(2, (0, 'leadership', 17, 29))","(0, None)"
5,7,"('dedication', 'prejudices', 'empathy', 'appeals', 'compromise', 'achievement', 'promises')",2,"(2, (1, 'diplomacy', 18, 22))","(1, (0, 'leadership', 17, 29))"
6,7,"('motives', 'ethic', 'ideas', 'skills', 'systems', 'goals', 'knowledge')",12,"(2, (5, 'intelligence/knowledge', 9, 12))","(1, (0, 'leadership', 17, 29))"
7,5,"('join', 'commitment', 'experience', 'constitution', 'leader')",5,"(2, (4, 'determination', 8, 13))","(1, (2, 'relate to diverse groups', 8, 17))"
8,4,"('run', 'understanding', 'work', 'determination')",3,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
9,2,"('unity', 'integrity')",6,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
10,2,"('strong', 'hard')",8,"(1, (0, 'leadership', 17, 29))","(0, None)"
11,2,"('trustworthy', 'trustworthiness')",9,"(2, (6, 'honesty', 7, 10))","(0, None)"
12,2,"('management', 'care')",11,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
