SN.,size of cluster,cluster member,cluster ID,member nearer to centroid,first match count,second match count
0,16,"('course', 'decisions', 'motives', 'passion', 'situations', 'ethic', 'leadership', 'relations', 'ideas', 'skills', 'qualities', 'systems', 'goals', 'teamwork', 'term', 'knowledge')",3,decisions,"(5, (0, 'leadership', 17, 29))","(0, None)"
1,15,"('problem', 'hard', 'morality', 'polite', 'decisiveness', 'peaceful', 'sure', 'capable', 'political', 'kindness', 'crucial', 'international', 'selfless', 'ability', 'confident')",12,sure,"(7, (0, 'leadership', 17, 29))","(0, None)"
2,11,"('join', 'commitment', 'groups', 'time', 'people', 'experience', 'lot', 'constitution', 'character', 'leader', 'care')",1,constitution,"(3, (2, 'relate to diverse groups', 8, 17))","(1, (0, 'leadership', 17, 29))"
3,11,"('ulterior', 'strong', 'inclusivity', 'umm', 'underprivileged', 'stressful', 'levelheadedness', ""i'm"", 'level-headed', 'others', 'proud')",6,inclusivity,"(4, (0, 'leadership', 17, 29))","(0, None)"
4,11,"('nice', 'u', 'wise', 'common', 'good', 'whole', 'diplomacy', 'sociology', 'progressive', 'idiot', 'basic')",10,diplomacy,"(4, (5, 'intelligence/knowledge', 9, 12))","(3, (1, 'diplomacy', 18, 22))"
5,10,"('able', 'trustworthy', 'honest', 'humility', 'trustworthiness', 'equality', 'genuine', 'vast', 'logical', 'willingness')",2,genuine,"(3, (1, 'diplomacy', 18, 22))","(0, None)"
6,8,"('different', 'sophisticated', 'smart', 'approachable', 'eloquent', 'long', 'sense', 'humble')",0,sense,"(2, (0, 'leadership', 17, 29))","(0, None)"
7,8,"('prejudice', 'president', 'deliberate', 'intelligence', 'politics', 'office', 'honesty', 'mature')",4,deliberate,"(2, (0, 'leadership', 17, 29))","(0, None)"
8,7,"('empathy', 'bravery', 'unity', 'integrity', 'agreeable', 'calm', 'compassion')",11,compassion,"(3, (1, 'diplomacy', 18, 22))","(1, (0, 'leadership', 17, 29))"
9,5,"('management', 'appeals', 'work', 'compromise', 'achievement')",5,compromise,"(2, (1, 'diplomacy', 18, 22))","(1, (0, 'leadership', 17, 29))"
10,5,"('dedication', 'run', 'understanding', 'determination', 'promises')",9,promises,"(1, (3, 'political skills ', 9, 16))","(0, None)"
11,4,"('someone', 'country', 'negotiator', 'county')",8,someone,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
12,1,"('prejudices',)",7,prejudices,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
